Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7974005;3136051;A;004;001;1140;GAZTELU                       ;005 ;  ;00;DR ;B ;   220,00;MI
088;7974005;3136051;A;005;001;1140;GAZTELU                       ;005 ;  ;01;DR ;V ;   110,00;MI
088;7974005;3136051;A;006;001;1140;GAZTELU                       ;005 ;  ;BH;DR ;T ;    86,00;MI
088;7974006;3136064;C;001;001;1140;GAZTELU                       ;006 ;  ;00;   ;B ;   172,00;MI
088;7974006;3136064;C;002;001;1140;GAZTELU                       ;006 ;  ;01;   ;V ;    86,00;MI
088;7974006;3136064;C;003;001;1140;GAZTELU                       ;006 ;  ;01;   ;B ;    86,00;MI
088;7974006;3136064;C;004;001;1140;GAZTELU                       ;006 ;  ;BH;   ;B ;   120,00;MI
088;7974007;6044200;J;001;001;1140;GAZTELU                       ;036 ;  ;01;   ;V ;    85,00;MI
088;7974007;6044200;J;002;001;1140;GAZTELU                       ;036 ;  ;00;   ;B ;    85,00;MI
088;7974007;6044200;J;003;001;1140;GAZTELU                       ;036 ;  ;BH;   ;V ;    42,00;MI
088;7974007;6044200;J;004;001;1140;GAZTELU                       ;036 ;  ;00;   ;G ;    40,00;MI
088;7974008;3136037;A;001;001;1140;GAZTELU                       ;008 ;  ;00;   ;B ;   202,00;MI
088;7974008;3136037;A;002;001;1140;GAZTELU                       ;008 ;  ;01;   ;V ;   202,00;MI
088;7974008;3136037;A;003;001;1140;GAZTELU                       ;008 ;  ;02;   ;V ;   202,00;MI
088;7974008;3136037;A;004;001;1140;GAZTELU                       ;008 ;  ;BH;   ;B ;   101,00;MI
088;7974010;3136059;S;001;001;1140;GAZTELU                       ;010 ;  ;00;   ;V ;   135,00;MI
088;7974010;3136059;S;002;001;1140;GAZTELU                       ;010 ;  ;01;   ;V ;   135,00;MI
088;7974010;3136059;S;003;001;1140;GAZTELU                       ;010 ;  ;BH;   ;V ;   135,00;MI
088;7974011;5197158;X;002;001;1140;GAZTELU                       ;011 ;  ;01;   ;V ;   210,00;MI
088;7974011;5197158;X;003;001;1140;GAZTELU                       ;011 ;  ;02;   ;V ;   210,00;MI
088;7974011;5197158;X;004;002;1140;GAZTELU                       ;011 ;  ;00;   ;M ;    64,00;MP
088;7974011;5197158;X;005;003;1140;GAZTELU                       ;011 ;  ;00;   ;M ;   100,00;MP
088;7974011;5197158;X;006;001;1140;GAZTELU                       ;011 ;  ;00;   ;G ;   105,00;MI
088;7974011;5197158;X;007;001;1140;GAZTELU                       ;011 ;  ;00;   ;T ;   105,00;MI
088;7974012;6042409;D;001;001;1140;GAZTELU                       ;013 ;  ;00;IZ ;V ;    95,20;EU
088;7974012;6042409;D;002;001;1140;GAZTELU                       ;013 ;  ;01;IZ ;V ;    55,03;EU
088;7974012;6042409;D;003;001;1140;GAZTELU                       ;013 ;  ;BH;IZ ;V ;    50,70;EU
088;7974012;6042409;D;004;001;1140;GAZTELU                       ;013 ;  ;SM;IZ ;G ;    44,67;MI
088;7974012;6042409;D;005;001;1140;GAZTELU                       ;013 ;  ;SM;IZ ;M ;    23,55;MI
088;7974012;6042409;D;006;001;1140;GAZTELU                       ;013 ;  ;SM;IZ ;T ;     5,87;MI
088;7974012;6042409;D;007;001;1140;GAZTELU                       ;013 ;  ;SM;IZ ;V ;     2,60;MI
088;7974012;6042410;B;001;001;1140;GAZTELU                       ;013 ;  ;00;DR ;V ;    89,48;EU
088;7974012;6042410;B;002;001;1140;GAZTELU                       ;013 ;  ;01;DR ;V ;    73,32;EU
088;7974012;6042410;B;003;001;1140;GAZTELU                       ;013 ;  ;BH;DR ;V ;    36,16;EU
088;7974012;6042410;B;004;001;1140;GAZTELU                       ;013 ;  ;SM;DR ;G ;    40,19;MI
088;7974012;6042410;B;005;001;1140;GAZTELU                       ;013 ;  ;SM;DR ;M ;    14,27;MI
088;7974012;6042410;B;006;001;1140;GAZTELU                       ;013 ;  ;SM;DR ;T ;     3,83;MI
088;7974012;6042410;B;007;001;1140;GAZTELU                       ;013 ;  ;SM;DR ;V ;     3,45;MI
088;7974013;5062070;G;001;001;1140;GAZTELU                       ;014 ;  ;00;   ;V ;    98,00;MI
088;7974013;5062070;G;002;001;1140;GAZTELU                       ;014 ;  ;01;   ;V ;    98,00;MI
088;7974014;3136027;W;001;001;1140;GAZTELU                       ;015 ;  ;00;   ;V ;   272,00;MI
088;7974014;3136027;W;002;001;1140;GAZTELU                       ;015 ;  ;SM;   ;B ;    94,00;MI
088;7974014;3136027;W;004;001;1140;GAZTELU                       ;015 ;  ;BH;   ;T ;   204,00;MI
088;7974015;3136063;R;001;001;1140;GAZTELU                       ;016 ;  ;00;   ;B ;   192,00;MI
088;7974015;3136063;R;002;001;1140;GAZTELU                       ;016 ;  ;01;   ;V ;   101,00;MI
088;7974015;3136063;R;003;001;1140;GAZTELU                       ;016 ;  ;01;   ;B ;    91,00;MI
088;7974015;3136063;R;004;001;1140;GAZTELU                       ;016 ;  ;BH;   ;B ;    91,00;MI
