Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7974064;6133306;L;004;001;1140;GAZTELU                       ;043A;  ;00;   ;J ;   345,09;EC
088;7974064;6133307;T;001;001;1140;GAZTELU                       ;043B;  ;00;   ;V ;    36,80;MI
088;7974064;6133307;T;002;001;1140;GAZTELU                       ;043B;  ;00;   ;G ;    21,24;EU
088;7974064;6133307;T;003;001;1140;GAZTELU                       ;043B;  ;01;   ;V ;    56,28;MI
088;7974064;6133307;T;004;001;1140;GAZTELU                       ;043B;  ;00;   ;J ;   345,10;EC
088;7974065;6115543;Q;001;000;1140;GAZTELU                       ;912 ;  ;  ;   ;S ;   904,58;MP
088;7974066;6124739;R;001;001;1140;GAZTELU                       ;012 ;  ;-1;   ;M ;   317,99;MP
088;7974066;6124739;R;002;001;1140;GAZTELU                       ;012 ;  ;-1;   ;G ;    39,59;MP
088;7974066;6124739;R;003;001;1140;GAZTELU                       ;012 ;  ;00;   ;V ;   145,00;MI
088;7974066;6124739;R;004;001;1140;GAZTELU                       ;012 ;  ;01;   ;M ;   278,40;MP
088;7974066;6124739;R;005;001;1140;GAZTELU                       ;012 ;  ;BC;   ;B ;   278,40;MP
088;7974067;6125888;A;001;001;1120;DISEMINADOS                   ;057 ;  ;00;A  ;V ;    56,19;MI
088;7974067;6125888;A;002;001;1120;DISEMINADOS                   ;057 ;  ;01;A  ;V ;    50,48;MI
088;7974067;6125889;Y;001;001;1120;DISEMINADOS                   ;057 ;  ;00;B  ;V ;    52,34;MI
088;7974067;6125889;Y;002;001;1120;DISEMINADOS                   ;057 ;  ;01;B  ;V ;    50,26;MI
088;7974068;6133304;S;001;001;1140;GAZTELU                       ;040 ;  ;00;   ;V ;    69,85;MP
088;7974068;6133304;S;002;001;1140;GAZTELU                       ;040 ;  ;00;   ;G ;    40,15;MP
088;7974068;6133304;S;003;001;1140;GAZTELU                       ;040 ;  ;00;   ;M ;    23,78;MP
088;7974068;6133304;S;004;001;1140;GAZTELU                       ;040 ;  ;01;   ;V ;   110,00;MP
088;7975001;5197319;L;001;001;1120;DISEMINADOS                   ;051 ;  ;00;   ;G ;   123,00;MI
088;7975001;5197319;L;002;001;1120;DISEMINADOS                   ;051 ;  ;01;   ;V ;   123,00;MI
088;7975001;5197319;L;003;001;1120;DISEMINADOS                   ;051 ;  ;BH;   ;V ;    10,00;MI
088;8074001;3136024;V;001;001;1120;DISEMINADOS                   ;050 ;  ;00;   ;B ;   204,00;MI
088;8074001;3136024;V;002;001;1120;DISEMINADOS                   ;050 ;  ;01;   ;V ;   102,00;MI
088;8074001;3136024;V;003;001;1120;DISEMINADOS                   ;050 ;  ;01;   ;B ;   102,00;MI
088;8074001;3136024;V;004;001;1120;DISEMINADOS                   ;050 ;  ;BH;   ;B ;   100,00;MI
088;8074002;5197328;E;001;001;1120;DISEMINADOS                   ;007W;  ;00;   ;V ;    84,00;MI
088;8074002;5197328;E;002;001;1120;DISEMINADOS                   ;007W;  ;BH;   ;V ;    10,00;MI
088;8074003;5197327;T;001;001;1120;DISEMINADOS                   ;006W;  ;00;   ;V ;    27,00;MI
088;8173001;5197325;D;001;001;1120;DISEMINADOS                   ;005W;  ;00;   ;V ;    80,00;MI
